"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"FLOW";13.396;6.49;-6.78;-7.22;-7.07;-2.08;6.51;6.04;6.05;6.01;0.66;21.54;-256.03;333;0.13;0.166;0.331;0;0.166;-1.821
"FLUX";7.708;1.535;-2.54;-1.777;-1.51;-15.03;1.519;1.492;1.496;1.22;18.45;5;-234.22;3;0.33;0.268;0.268;-0.067;0;-1.072
"FOR";2.66;0.04606;-4.6;-5.455;-5.63;3.21;0.04656;0.04402;0.04394;0.04393;0.02;0.04457;-1.43;33;0.29;-0.182;0.023;-0.182;0;-0.545
"FORTH";34.648;5.29;28.17;29.367;30.13;2.6;5.21;6.74;6.78;6.76;0.29;10;-47.49;3333;0.09;0.593;0.742;0;0;5.193
"FRONT";1.807;0.4989;-1.36;-2.267;-2.15;-5.16;0.5029;0.4915;0.4921;0.4931;-0.2;0.4956;-0.71;33;0.2;0.122;0.122;0;0;-1.831
"FTM";189.196;2.0786;-7.65;-7.492;-7.27;-2.96;2.0702;1.9151;1.9196;1.9;1.02;1.9959;-3.97;63;0.88;0.235;0.235;-0.026;0.031;-1.06
"FTT";35.568;44.64;-3.63;-4.174;-3.97;-4.89;44.8;42.93;43.02;42.67;0.81;43.19;-0.4;63;0.81;0.21;0.21;-0.07;0.047;-0.582
"FUN";0.694;0.00984;-0.61;-0.306;-0.2;-34.64;0.0098;0.00977;0.00978;0.00979;-0.1;0.00981;-0.31;633;0.68;0.102;0.205;-0.512;0.102;-0.819
"FXS";1.859;21.119;-3.52;-4.826;-4.81;-0.33;21.405;20.372;20.376;13.348;34.49;45.9;-125.27;6;0.67;0.02;0.034;0;0;-0.618
"GALA";118.714;0.19967;-7.4;-10.123;-9.84;-2.8;0.20507;0.18431;0.1849;0.17959;2.87;0.21067;-13.94;6;0.5;0.32;0.385;-0.168;-0.065;-0.749
"GBP";7.35;1.352;0.44;0.592;0.52;-12.16;1.351;1.359;1.358;1.358;0;1.359;-0.07;3633;0.05;-0.074;0;-0.074;0;-0.074
"GHST";0.333;2.024;0.05;-0.344;-0.34;-1.16;2.032;2.025;2.025;2.008;0.84;2.04;-0.74;6;0.57;0;0;0;0;-0.593
