"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"RARE";12.383;0.556;22.3;25.279;26.39;4.39;0.538;0.674;0.68;0.649;4.56;0.67;1.47;33;0.2;0.89;0.89;-1.484;0;-2.671
"RAY";3.865;3.824;-4.81;-4.949;-4.69;-5.23;3.819;3.63;3.64;3.612;0.77;13.443;-269.31;33;0.14;0.275;0.275;-0.386;0.138;-1.047
"REEF";5.473;0.01025;-5.17;-4.888;-4.99;2.09;0.01023;0.00973;0.00972;0.00974;-0.21;0.00975;-0.31;333;0.07;-0.103;0;-0.308;0.103;-1.028
"REN";2.945;0.327;-4.53;-3.156;-3.4;7.73;0.3232;0.313;0.3122;0.3126;-0.13;0.3142;-0.64;333;0.6;-0.256;0;-0.543;0;-2.109
"REP";20.754;14.67;2.73;12.901;15.04;16.58;13.1;14.79;15.07;9.45;37.29;15.84;-5.11;6336;0.52;1.893;1.961;-0.879;0;2.569
"REQ";1.779;0.2328;-4.6;-4.801;-4.8;-0.02;0.2333;0.2221;0.2221;0.2182;1.76;0.2273;-2.34;6;0.57;0;0.045;-0.18;0;-0.72
"RGT";0.254;20.86;-2.59;-3.238;-3.24;0.06;21;20.32;20.32;18;11.42;76.95;-278.69;3;0.25;0;0;0;0;0.049
"RIF";0.753;0.1407;-4.19;-5.07;-5.07;0;0.142;0.1348;0.1348;0.1348;0;0.1348;0;333;0.07;0;0;0;0;-1.335
"RLC";2.028;1.967;-4.52;-6.62;-6.52;-1.51;2.009;1.876;1.878;1.858;1.06;1.889;-0.59;63;0.68;0.107;0.107;-0.267;0;-1.546
"RNDR";41.537;3.604;-8.05;-9.873;-10.12;2.5;3.687;3.323;3.314;3.346;-0.97;3.378;-1.93;3;0.25;-0.271;0.421;-0.271;-0.09;0.752
"ROSE";100.461;0.33002;-0.82;-0.46;-0.3;-34.78;0.32827;0.32676;0.3273;0.29749;9.11;0.35461;-8.34;6;0.94;0.165;0.165;-0.089;0.055;-4.505
"RSR";5.736;0.0187;-7.86;-6.62;-6.51;-1.66;0.01843;0.01721;0.01723;0.01716;0.41;0.01727;-0.23;633;0.47;0.116;0.116;-0.232;0;-0.93
"RUNE";11.15;4.17;-7.96;-7.055;-6.96;-1.35;4.125;3.834;3.838;3.811;0.7;17.27;-349.97;63;0.5;0.104;0.104;-0.209;0.052;-0.365
"RVN";7.118;0.06928;-5.51;-4.953;-4.65;-6.12;0.06865;0.06525;0.06546;0.06523;0.35;0.0655;-0.06;6333;0.6;0.322;0.352;-0.107;-0.031;-0.904
"SAND";175.109;3.9761;-8.69;-8.053;-7.36;-8.61;3.919;3.6034;3.6307;3.5834;1.3;3.6778;-1.3;6;0.84;0.758;0.758;-0.033;0.017;-1.102
"SANTOS";0.583;2.665;-2.85;-2.961;-2.96;-0.03;2.668;2.589;2.589;2.589;0;2.589;0;3;0.33;0;0;-0.193;0.193;-0.309
"SC";4.51;0.00995;-0.3;-0.7;-0.8;14.29;0.01;0.00993;0.00992;0.00987;0.5;0.00991;0.1;63;0.5;-0.101;0;-0.101;0;-1.208
"SCRT";2.874;5.276;-7.98;-6.367;-6.62;3.97;5.199;4.868;4.855;4.768;1.79;5.473;-12.73;3;0.5;-0.267;0;-0.411;0;-2.712
"SFP";4.275;0.8357;-4.82;-5.91;-5.42;-8.29;0.841;0.7913;0.7954;0.7917;0.47;0.8035;-1.02;363;0.08;0.518;0.518;-0.164;0.126;-0.569
"SHIB";97.002;0.00002153;-3.44;-4.346;-3.88;-10.72;0.00002163;0.00002069;0.00002079;0.00002028;2.45;0.00002116;-1.78;63;0.6;0.483;0.483;0;0;-0.773
"SKL";2.353;0.1155;-5.28;-6.735;-6.73;-0.07;0.1173;0.1094;0.1094;0.1085;0.82;0.1099;-0.46;633;0.27;0;0;-0.366;0;-1.554
"SLP";16.047;0.0098;-4.08;-5.102;-4.08;-20.03;0.0098;0.0093;0.0094;0.0093;1.06;0.0094;0;333;0.18;1.075;1.075;0;1.075;-1.075
"SNX";25.33;5.785;-6.66;-0.94;-0.44;-53.19;5.424;5.373;5.4;5.379;0.39;10.632;-96.89;6333;0.4;0.503;0.521;-0.149;0;-2.699
"SOL";515.204;109.71;-7.26;-6.649;-6.44;-3.14;108.74;101.51;101.74;1.0301;98.99;259.9;-155.46;6;0.84;0.227;0.266;-0.621;-0.039;-2.079
"SPELL";19.349;0.0069;-14.2;-12;-12.3;2.5;0.00675;0.00594;0.00592;0.00587;0.84;0.00615;-3.89;3;0.33;-0.337;0.505;-0.337;0;-0.505
"SRM";8.389;2.376;-4.97;-4.131;-3.83;-7.29;2.348;2.251;2.258;2.243;0.66;13.732;-508.15;63;0.74;0.311;0.311;-0.044;0;-0.888
"STMX";1.704;0.01491;0.13;-0.598;-0.86;43.81;0.01506;0.01497;0.01493;0.01459;2.28;0.01495;-0.13;633;0.52;-0.267;0.067;-0.868;0;-2.204
"STORJ";4.251;1.1494;-0.25;-0.087;0.01;-111.49;1.1464;1.1454;1.1465;1.1044;3.67;1.1629;-1.43;66;0.45;0.096;0.236;-0.506;-0.139;-1.493
"STPT";2.509;0.07544;2.2;0.657;1.33;102.44;0.07609;0.07659;0.0771;0.07375;4.35;0.092;-19.33;63;0.83;0.666;0.927;-0.209;0;4.857
"STRAX";13.197;1.015;1.08;1.59;1.99;25.16;1.006;1.022;1.026;1.01;1.56;1.105;-7.7;633;0.44;0.391;0.391;-0.294;0;1.272
"STX";3.035;1.483;-4.79;-5.04;-5.11;1.39;1.488;1.413;1.412;0.043;96.95;3.256;-130.59;6;0.93;-0.071;0;-0.283;0;-0.778
"SUN";16.423;0.01532;-4.5;-3.818;-3.69;-3.35;0.01519;0.01461;0.01463;0.0146;0.21;0.01468;-0.34;333;0.44;0.137;0.137;-0.068;0;-0.068
"SUPER";4.956;0.6826;-6.01;-8.478;-8.58;1.2;0.7018;0.6423;0.6416;0.6324;1.43;0.6421;-0.08;36;0.08;-0.109;0;-0.529;0;0.358
"SUSD";0.027;1.002;-0.4;-0.399;-0.4;0.25;1.002;0.998;0.998;0.998;0;1.001;-0.3;6;0.93;0;0;0;0;0
"SUSHI";24.853;4.326;-4.62;-4.507;-4.14;-8.14;4.304;4.11;4.126;4.094;0.78;10.684;-158.94;633;0.39;0.389;0.389;0;0.17;-0.949
"SXP";15.119;1.375;-2.76;-2.564;-2.05;-20.05;1.365;1.33;1.337;1.322;1.12;1.327;0.75;633;0.55;0.526;0.526;0;0.3;-0.075
"SYS";8.266;0.7558;-6.06;-5.584;-5.38;-3.65;0.7504;0.7085;0.71;0.7025;1.06;0.7118;-0.25;6;0.83;0.212;0.212;-0.127;0.042;-0.579
"TCT";1.465;0.0208;-5.29;-5.162;-4.97;-3.72;0.02073;0.01966;0.0197;0.01937;1.68;0.02036;-3.35;63;0.65;0.203;0.203;-0.254;0;0
"TFUEL";4.206;0.1735;-5.3;-4.902;-5.25;7.1;0.1734;0.1649;0.1643;0.1627;0.97;0.1717;-4.5;633;0.76;-0.364;0;-0.364;0;-1.152
"THETA";28.498;2.89;-4.33;-4.607;-4.23;-8.18;2.887;2.754;2.765;2.748;0.61;10.477;-278.92;633;0.71;0.399;0.399;0;0;-1.017
"TKO";1.272;0.756;-4.37;-3.6;-3.6;0;0.75;0.723;0.723;0.722;0.14;0.723;0;333;0.09;0;0;-0.138;0;-0.553
"TLM";14.113;0.1134;-5.82;-5.674;-5.32;-6.24;0.1128;0.1064;0.1068;0.1059;0.84;0.1065;0.28;36;0.09;0.376;0.376;-0.094;0;-1.316
"TOMO";1.071;1.131;-2.74;-3.012;-2.57;-14.67;1.129;1.095;1.1;1.085;1.36;1.141;-3.73;63;0.84;0.457;0.548;0;-0.091;-0.913
"TORN";1.03;22.23;4.95;5.137;5.14;0.06;22.19;23.33;23.33;22.15;5.06;23.4;-0.3;33;0.44;0;0.471;0;-0.171;-1.5
"TRB";1.057;20.64;-2.37;-2.033;-2.47;21.5;20.66;20.24;20.15;19.97;0.89;164.05;-714.14;63;0.53;-0.445;0;-0.445;0;-2.915
"TRIBE";0.727;0.6877;-0.76;-2.208;-0.84;-61.96;0.6883;0.6731;0.6825;0.5742;15.87;1.5209;-122.84;6;0.57;1.397;1.397;0;0.53;0.906
"TROY";1.179;0.006712;-5.23;-3.787;-3.65;-3.62;0.006602;0.006352;0.006361;0.00635;0.17;0.006412;-0.8;63;0.81;0.142;0.142;-0.079;0;-0.677
"TRU";0.68;0.1953;-5.22;-4.644;-4.49;-3.32;0.1938;0.1848;0.1851;0.1826;1.35;0.1857;-0.32;63;0.57;0.162;0.162;-0.108;0;-0.541
"TRX";84.188;0.06026;-2.16;-1.572;-1.42;-9.67;0.05981;0.05887;0.05896;0.05836;1.02;0.05896;0;66;0.78;0.153;0.153;-0.051;0.017;-0.306
"TUSD";26.654;0.9997;0.01;0.01;0.01;0;0.9997;0.9998;0.9998;0.9997;0.01;0.9998;0;636;0.8;0;0;-0.01;0.01;-0.01
"TVK";1.983;0.1298;-6.32;-6.327;-6.17;-2.48;0.1296;0.1214;0.1216;0.121;0.49;0.1224;-0.66;33;0.14;0.165;0.165;-0.329;0.082;0
"TWT";3.295;0.5499;-1.44;-2.748;-2.64;-3.93;0.5567;0.5414;0.542;0.5368;0.96;0.5466;-0.85;63;0.64;0.111;0.111;-0.018;0;-0.573
"UMA";1.366;5.871;-6.18;-8.072;-8.14;0.84;5.996;5.512;5.508;5.512;-0.07;12.806;-132.5;333;0.33;-0.073;0;-0.163;0;-0.78
"UNFI";5.424;5.393;-7.36;-7.632;-7.45;-2.38;5.398;4.986;4.996;4.959;0.74;13.574;-171.7;633;0.31;0.201;0.201;-0.14;0.1;-1.584
"UNI";18.01;11.11;-4.86;-4.874;-4.6;-5.62;11.08;10.54;10.57;9.53;9.84;10.59;-0.19;633;0.5;0.285;0.38;0;-0.095;-1.044
"USDC";95.862;0.9997;-0.02;0.01;0;-100;0.9995;0.9996;0.9995;0.9995;0;0.9996;-0.01;3333;0.08;-0.01;0;-0.01;-0.01;0
"USDP";0.51;0.9996;-0.02;-0.01;-0.01;0;0.9995;0.9994;0.9994;0.9994;0;0.9995;-0.01;33;0.17;0;0;0;0;0
"UST";31.858;1;-0.04;0.01;0.01;0;0.9995;0.9996;0.9996;0.9991;0.05;1.0008;-0.12;3;0.33;0;0;-0.01;0;0.05
"UTK";1.31;0.2323;-2.84;-3.597;-3.34;-7.14;0.2335;0.2251;0.2257;0.2255;0.09;0.2255;0.09;633;0.47;0.267;0.311;0;0.044;-0.4
"VET";36.469;0.05438;-4.06;-4.429;-4.12;-6.98;0.05441;0.052;0.05217;0.05167;0.96;0.05241;-0.46;63;0.77;0.327;0.327;-0.038;0.038;-0.654
"VGX";2.74;1.917;-6.78;-7.069;-7.12;0.72;1.924;1.788;1.787;1.756;1.73;1.786;0.06;3;0.25;-0.056;0;-0.112;0;-1.902
"VIDT";7.825;0.5038;4.88;5.657;5.62;-0.65;0.5003;0.5286;0.5284;0.5117;3.16;0.5332;-0.91;33;0.33;-0.038;0;-0.303;0;3.065
"VITE";0.388;0.05185;-3.51;-4.014;-3.92;-2.34;0.05207;0.04998;0.05003;0.04978;0.5;0.04989;0.28;663;0.63;0.1;0.1;-0.08;0;-0.8
"VOXEL";74.992;1.6339;13.51;11.434;14.81;29.53;1.6154;1.8001;1.8547;0.2;89.22;6.95;-274.72;3;0.33;3.033;3.033;0;0.254;-1.783
"VTHO";1.524;0.003428;-2.98;-3.482;-3.48;-0.06;0.003446;0.003326;0.003326;0.003325;0.03;0.003336;-0.3;633;0.5;0;0.21;-0.03;-0.21;-0.601
"WAN";0.512;0.4141;-1.21;-1.777;-1.78;0.17;0.4165;0.4091;0.4091;0.4063;0.68;0.409;0.02;633;0.68;0;0.073;-0.196;0.098;-0.44
"WAVES";21.496;8.95;-2.91;-3.468;-2.8;-19.26;8.94;8.63;8.69;8.59;1.15;23.38;-169.04;633;0.76;0.695;0.695;0;0;0.116
"WAXP";8.485;0.3247;1.45;0.308;1.45;370.78;0.3247;0.3257;0.3294;0.1852;43.78;0.9835;-198.57;6;0.57;1.136;1.504;-0.307;-0.363;-1.535
"WIN";21.978;0.0003062;-3.17;-2.981;-2.88;-3.39;0.0003053;0.0002962;0.0002965;0.0002944;0.71;0.0002973;-0.27;63;0.68;0.101;0.135;-0.101;0.034;-0.641
"WING";1.105;9.02;-1.55;-2.31;-2.31;0;9.09;8.88;8.88;8.86;0.23;10.05;-13.18;3333;0.06;0;0;0;0;-0.45
"WNXM";0.496;36;-5.56;-5.503;-5.5;-0.05;35.98;34;34;33.83;0.5;134.2;-294.71;63;0.53;0;0;0;0;-0.618
"WRX";11.902;1.012;-7.41;-4.97;-4.97;0;0.986;0.937;0.937;0.933;0.43;0.944;-0.75;63;0.6;0;0;-0.32;0.107;-2.775
"WTC";0.759;0.5365;-5.29;-5.668;-5.58;-1.55;0.5381;0.5076;0.5081;0.5045;0.71;0.5096;-0.3;66;0.57;0.099;0.118;-0.276;-0.02;-0.985
"XEC";9.126;0.00007923;-3.7;-2.162;-1.83;-15.36;0.00007772;0.00007604;0.0000763;0.00007505;1.64;0.00007747;-1.53;33;0.17;0.342;0.368;-0.092;-0.026;-0.473
"XEM";1.713;0.1032;-1.16;-1.353;-1.45;7.17;0.1035;0.1021;0.102;0.1013;0.69;0.1047;-2.65;363;0.31;-0.098;0;-0.098;0;-0.686
"XLM";12.882;0.2019;-4.46;-5.079;-4.88;-3.92;0.2028;0.1925;0.1929;0.1916;0.67;0.1936;-0.36;63;0.8;0.208;0.208;-0.104;0;-0.26
"XMR";12.432;146.1;-0.82;-0.617;-0.62;0.49;145.8;144.9;144.9;25.08;82.69;145.1;-0.14;633;0.75;0;0.069;-0.138;-0.069;-0.483
"XNO";0.652;2.141;-1.59;-0.752;-0.99;31.65;2.128;2.112;2.107;2.074;1.57;2.2;-4.41;3;0.5;-0.237;0;-0.237;0;-0.994
"XRP";116.879;0.6264;-3.7;-3.726;-3.55;-4.72;0.6254;0.6021;0.6032;0.6011;0.35;0.6029;0.05;663;0.78;0.183;0.183;-0.066;0;-0.133
"XTZ";41.096;3.707;-0.05;-3.451;-2.4;-30.45;3.796;3.665;3.705;3.648;1.54;3.873;-4.53;63;0.87;1.091;1.091;-0.027;0.081;0.191
"XVG";1.039;0.01015;-3.74;-3.075;-3.08;0.16;0.01008;0.00977;0.00977;0.0097;0.72;0.00982;-0.51;33;0.11;0;0;0;0;-1.024
"XVS";1.671;8.02;-2.99;-3.722;-3.47;-6.77;8.06;7.76;7.78;7.7;1.03;13.61;-74.94;633;0.47;0.258;0.258;0;0.129;-0.515
"YFI";11.244;25099.07;-8.31;-9.858;-9.64;-2.21;25468.49;22957.73;23012.43;3000;86.96;23148.42;-0.59;636;0.53;0.238;0.238;-0.188;0.054;-0.794
"YFII";2.04;2348;-2.77;-2.599;-2.73;5.04;2347;2286;2283;970;57.51;2390;-4.69;363;0.06;-0.131;0;-0.35;0.132;-2.056
"YGG";15.065;3.389;-4.43;-2.702;-2.76;2.15;3.331;3.241;3.239;3.235;0.12;11.5;-255.05;3;0.5;-0.062;0.031;-0.216;-0.093;-0.648
"ZEC";21.781;100;1.8;1.906;2.11;10.7;99.7;101.6;101.8;97.5;4.22;102.1;-0.29;63;0.75;0.197;0.197;-0.197;0;-0.787
"ZEN";4.391;38.89;-1.03;-1.36;-1.26;-7.35;38.98;38.45;38.49;5.062;86.85;124.22;-222.73;63;0.55;0.104;0.104;-0.364;0;-2.315
"ZIL";6.789;0.04575;-2.86;-3.036;-2.95;-2.83;0.04579;0.0444;0.04444;0.04426;0.41;0.04431;0.29;633;0.76;0.09;0.113;-0.113;-0.022;-1.959
"ZRX";3.295;0.5762;1.56;1.399;1.11;-20.66;0.5788;0.5869;0.5852;0.5837;0.26;0.5855;-0.05;633;0.73;-0.29;0;-0.579;0.137;-2.215
